

*******************************************************************************
Ephemeris / WWW_USER Sat Jun  6 17:48:07 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Sun (10)                        {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 695700.0, 0.0              {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460410.500000000, A.D. 2024-Apr-10 00:00:00.0000,  1.037076588132456E+00, -9.224472787516959E-01, -4.513826391677531E-02,  9.282942665626317E-03,  1.261222016302828E-02,  1.041919767275101E-04,
2460411.500000000, A.D. 2024-Apr-11 00:00:00.0000,  1.046186782961700E+00, -9.098665354823152E-01, -4.501995402385352E-02,  8.944363374359870E-03,  1.253979673938223E-02,  1.312609904827817E-04,
2460412.500000000, A.D. 2024-Apr-12 00:00:00.0000,  1.054981295283503E+00, -8.973846820529752E-01, -4.487827938664738E-02,  8.653625033746823E-03,  1.241648466243519E-02,  1.507331638716690E-04,
2460413.500000000, A.D. 2024-Apr-13 00:00:00.0000,  1.063513571554973E+00, -8.850460063205080E-01, -4.472132091104825E-02,  8.421380204015229E-03,  1.225592589805133E-02,  1.617230357283283E-04,
2460414.500000000, A.D. 2024-Apr-14 00:00:00.0000,  1.071845937403916E+00, -8.728799802060081E-01, -4.455778948761577E-02,  8.254644040266200E-03,  1.207395867571112E-02,  1.638625237189366E-04,
2460415.500000000, A.D. 2024-Apr-15 00:00:00.0000,  1.080045727001182E+00, -8.608995379915940E-01, -4.439649469426867E-02,  8.156367427762235E-03,  1.188765077466134E-02,  1.573233292510326E-04,
2460416.500000000, A.D. 2024-Apr-16 00:00:00.0000,  1.088181107936615E+00, -8.491003639791862E-01, -4.424580752373172E-02,  8.125257959167334E-03,  1.171425784587408E-02,  1.428064267880187E-04,
2460417.500000000, A.D. 2024-Apr-17 00:00:00.0000,  1.096316856195809E+00, -8.374612329332743E-01, -4.411314989607051E-02,  8.155859667730206E-03,  1.157017028017072E-02,  1.214992786750011E-04,
2460418.500000000, A.D. 2024-Apr-18 00:00:00.0000,  1.104510338878918E+00, -8.259453825348506E-01, -4.400454208414312E-02,  8.238886655627067E-03,  1.146991284560486E-02,  9.500338412177466E-05,
2460419.500000000, A.D. 2024-Apr-19 00:00:00.0000,  1.112807949635961E+00, -8.145028341468125E-01, -4.392423564885638E-02,  8.361790274034176E-03,  1.142525810854129E-02,  6.523658136948750E-05,
